Account,End Customer Name,Site Name,IMSI,IMEI,APN,Attribute Value: FWD,Attribute Value: RTN,Attribute Value: AF,Attribute Value: AF FWD,Attribute Value: AF RTN,Attribute Value: EF,Attribute Value: EF RTN,Attribute Value: EF FWD,Attribute Value: BE,Attribute Value: BE FWD,Attribute Value: BE RTN,Attribute Value: Service Grade,Geolocation,Order: Order Number,Order Line Item: Line Item Id,Site Connectivity ID,Network Slice ID,Interconnect ID,Product,Static IP Address,Attribute Value: Site Connectivity,Network Slice ID,Actual Activation Date,Target Activation Date,Selling Term,Attribute Value: Budgeted Mbps
TrustComm d/b/a OneWeb Technologies,OWT-DP1,DP1-Dulles,901600000000107,351554110000909,trustcomm.ba.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"39.023, -77.4106",O-00000053,OI-0000000209,SC-0000000152,NS-0000000128,IC-0000000126,Trial IPC 75/15/UPD,,IP Access,Network Slice,"21/12/2021, 19:15",27-10-2021,3,90
Pacific Dataport Inc,NET,SYA1-NET,901600000000901,35155411002055,pdi.ba.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"52.7235, -174.1126",O-00000068,OI-0000000267,SC-0000000206,NS-0000000122,IC-0000000120,Trial PDI-IPC 75/15/UPD,,IP Access,Network Slice,"22/01/2022, 00:00",30-12-2021,2,90
OneWeb UT,BT GS,BT Adastral,901600000001327,351554110001915,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,0,0,0,Bronze,"52.06007055265902, 1.280551696734517",O-00000148,OI-0000000498,SC-0000000463,NS-0000000460,IC-0000000461,Trial Entry 75/15/500B,,IP Access,Network Slice,"04/03/2022, 20:00",03-03-2022,3,4.76
Alaska Communications Internet LLC,ORD-99393-M5F9G5,Red Dog Port,901600000001081,351554110002962,acs.ba.mnc060.mcc901.gprs,75,15,27,22.5,4.5,18,9,9,45,37.5,7.5,Palladium,"67.577846, -164.057884",O-00000221,OI-0000000781,SC-0000000731,NS-0000000125,IC-0000000123,Dedicated 75/15/UP,,IPVPN,Network Slice,,05-05-2022,12,90
Marlink AS,Marlink AS,ITC,901600000000671,351554110010882,marlink.ipa.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,0,0,0,Bronze,"57.1423261, -2.1501055",O-00000186,OI-0000000664,SC-0000000624,NS-0000000417,IC-0000000418,MARLINKTEST Entry 75/15/500B,10.25.1.1,IP Access,Network Slice,"29/03/2022, 19:00",28-03-2022,3,4.76
Marlink AS,Marlink AS,Eik Teleport,901600000001316,351554110002467,marlink.ipa.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,0,0,0,Bronze,"58.538309, 6.467338",O-00000141,OI-0000000468,SC-0000000433,NS-0000000417,IC-0000000418,MARLINKTEST Entry 75/15/500B,,IP Access,Network Slice,"04/03/2022, 20:00",24-02-2022,3,4.76
AST 5G Ltd,AST,Bawburgh Test Terminal 2,901600000000916,351554110010551,ast.ba.mnc060.mcc901.gprs,75,15,0,0,0,9,4.5,4.5,9,7.5,1.5,Silver,"52.634825, 1.202711",O-00000183,OI-0000000654,SC-0000000616,NS-0000000105,IC-0000000103,TRIAL AST5G OCEAN 75/15/2500S,10.224.16.3,Business Access,Network Slice,"24/03/2022, 12:00",24-03-2022,3,11.9
AST 5G Ltd,AST,Bawburgh Test Terminal 1,901600000000945,351554110010544,ast.ba.mnc060.mcc901.gprs,100,20,0,,,0,,,12,,,Bronze,"52.634825, 1.202711",O-00000095,OI-0000000361,SC-0000000299,NS-0000000105,IC-0000000103,TRIAL AST5G OCEAN CREW 100/20/3000B,10.224.16.2,IP Access,Network Slice,"10/02/2022, 09:30",10-02-2022,3,
AST 5G Ltd,Q-00000107 EC,AST Ref UT - GY Roof,901600000001293,351554110000602,ast.ba.mnc060.mcc901.gprs,125,25,0,0,0,0,0,0,0,0,0,Bronze,"52.59215, 1.71228",O-00000039,OI-0000000166,SC-0000000109,NS-0000000105,IC-0000000103,Trial AST5G-ENT 125/25/500B,1,IP Access,Network Slice,"18/12/2021, 20:00",12-11-2021,60,4.76
Galaxy Broadband Communications Inc,DeBeers Gahcho Kue,DeBeers Gahcho Kue mine site,901600000001045,351554110003424,galaxy.ipa.mnc060.mcc901.gprs,150,30,0,0,0,27,13.5,13.5,36,30,6,Gold,"63.4347, -109.2005528",O-00000236,OI-0000000823,SC-0000000551,NS-0000000328,IC-0000000329,TRIAL GBC ENT+ 150/30/UG,199.182.119.253,Business Access,Network Slice,"17/05/2022, 11:00",18-05-2022,3,63
