Account Reference,Account Name,End Customer Reference,End Customer: End Customer Name,Account Reference,Account Name
ACC-DP-0000338,NorthwestTel,DP-EC-0000113,NorthwestTel,ACC-DP-0000338,NorthwestTel
ACC-DP-0000338,NorthwestTel,DP-EC-0000296,Diavik Diamond Mines ( Rio Tinto),ACC-DP-0000338,NorthwestTel
ACC-DP-0000338,NorthwestTel,DP-EC-0000077,Government of Nunavut,ACC-DP-0000338,NorthwestTel
ACC-DP-0000042,AST 5G Ltd,DP-EC-0000033,EnQuest,ACC-DP-0000042,AST 5G Ltd
ACC-DP-0000042,AST 5G Ltd,DP-EC-0000020,AST,ACC-DP-0000042,AST 5G Ltd
ACC-DP-0000042,AST 5G Ltd,DP-EC-0000019,TaQa,ACC-DP-0000042,AST 5G Ltd
ACC-DP-0000042,AST 5G Ltd,DP-EC-0000039,Q-00000107 EC,ACC-DP-0000042,AST 5G Ltd
ACC-DP-0000042,AST 5G Ltd,DP-EC-0000097,Greenland University,ACC-DP-0000042,AST 5G Ltd
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000082,BT - Community Broadband UK,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000080,BT - Global Services - BP Germany,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000081,BT - EE ESN UK -pre 2021,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000093,BT Test Madley,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000095,BT Test Adastral,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000094,BT Test Bristol,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000115,Gas Pipeline,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000161,BT Live,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000239,BP plc,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000242,Coast Guard,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000243,Anglo American,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000241,Enel S.p.A,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000237,Schlumberger,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000238,Royal Dutch Shell,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000240,DHL,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000136,BT Media and Broadcast - South UK,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000079,BT - Media and Broadcast - OB,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000083,TC-Energy,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000078,BT - Enterprise UK,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000199,SpeedCast International Limited,DP-EC-0000277,JL Cadre Yachting,ACC-DP-0000199,SpeedCast International Limited
ACC-DP-0000199,SpeedCast International Limited,DP-EC-0000275,P2P Networks,ACC-DP-0000199,SpeedCast International Limited
ACC-DP-0000199,SpeedCast International Limited,DP-EC-0000266,North Sea Rig x 4,ACC-DP-0000199,SpeedCast International Limited
ACC-DP-0000199,SpeedCast International Limited,DP-EC-0000259,North Sea fixed asset,ACC-DP-0000199,SpeedCast International Limited
ACC-DP-0000199,SpeedCast International Limited,DP-EC-0000267,SSE Renewable,ACC-DP-0000199,SpeedCast International Limited
ACC-DP-0000005,Network Innovations,DP-EC-0000229,Network Innovations,ACC-DP-0000005,Network Innovations
ACC-DP-0000005,Network Innovations,DP-EC-0000172,FCDO Services,ACC-DP-0000005,Network Innovations
ACC-DP-0000005,Network Innovations,DP-EC-0000015,Foreign Commonwealth & Development Office,ACC-DP-0000005,Network Innovations
ACC-DP-0000022,Marlink AS,DP-EC-0000268,BP,ACC-DP-0000022,Marlink AS
ACC-DP-0000022,Marlink AS,DP-EC-0000018,Chevron,ACC-DP-0000022,Marlink AS
ACC-DP-0000022,Marlink AS,DP-EC-0000278,Fugro,ACC-DP-0000022,Marlink AS
ACC-DP-0000022,Marlink AS,DP-EC-0000128,Total Energies,ACC-DP-0000022,Marlink AS
ACC-DP-0000022,Marlink AS,DP-EC-0000225,Marlink AS,ACC-DP-0000022,Marlink AS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000190,Iceland Emergency Responders,ACC-DP-0000253,Airbus Satellite Exchange SAS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000139,Danish DALO,ACC-DP-0000253,Airbus Satellite Exchange SAS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000145,Swedish MOD,ACC-DP-0000253,Airbus Satellite Exchange SAS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000144,Finnish MOD,ACC-DP-0000253,Airbus Satellite Exchange SAS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000146,German Bundeswehr,ACC-DP-0000253,Airbus Satellite Exchange SAS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000154,Airbus DS,ACC-DP-0000253,Airbus Satellite Exchange SAS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000210,UK MOD,ACC-DP-0000253,Airbus Satellite Exchange SAS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000212,Iceland Emergency Responders 112,ACC-DP-0000253,Airbus Satellite Exchange SAS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000211,French MOD,ACC-DP-0000253,Airbus Satellite Exchange SAS
