IMSI,Source,DP Name,CustomerReference,CustomerName,EndCustomerReference,EndCustomerName,MbpsRate,IMEI,SiteTypeFlag,Site Type,SiteType-SubCategory,PricingPlanName,Downlink,Uplink,GeoLocation,SiteReference,SiteName,CustomerActiveStatus,SiteAddress,MRC,MaximumServiceDuration,ActualActivationDate,TimeLapse,CoS,TotalBandwidth,AFDown,AFUp,EFDown,EFUp,BEDown,BEUp,Mar Total Usage,Down,Up
901600000000876,AccountHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000072,SIX,360,351554110020543,External,Trial UT Plan,Trial UT Plan,Trial PDI-IPC 75/15/UPD,75,15,"57.1855, -170.254",OAL-000084,SNP1-SIX,InActive,"St Paul IslandAlaska, , 99660, US",40500.00,60,1900-Jan-00,44725,Silver,120,15.0,3.0,6.0,6.0,10.0,2.0,"4,312",100,20
901600000001299,AccountHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000066,Akiak,360,351554110001584,External,Trial UT Plan,Trial UT Plan,Trial PDI-IPC 75/15/UPD,75,15,"60.912144, -161.213931",OAL-000080,AKIUS1 Beta,InActive,"ATB Akiak, AK, , 99552, US",40500.00,60,2021-Dec-10,185,Palladium,90,22.5,4.5,9.0,9.0,75.0,15.0,"10,778",75,15
901600000000901,AccountHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000117,NET,360,35155411002055,External,Trial UT Plan,Trial UT Plan,Trial PDI-IPC 75/15/UPD,75,15,"52.7235, -174.1126",OAL-000102,SYA1-NET,InActive,", Shemya, Alaska, Alaska, ",40500.00,60,2022-Jan-22,142,Palladium,90,22.5,4.5,9.0,9.0,75.0,15.0,"4,074",75,15
901600000001381,PerformanceHub,TrustComm dba OneWeb Technologies,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,DP-EC-0000021,OWT-DP1,400,35155411000065,External,Trial UT Plan,Trial UT Plan,IP Access 50/10,,,NotAvailable,,HNS-T2,InActive,,24000.00,,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,894,,
901600000001330,PerformanceHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000014,PDI EC Test,360,,External,Trial UT Plan,Trial UT Plan,IP Access 50/10,,,NotAvailable,,ANCUS2,InActive,,3429.00,60,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,73,,
901600000000076,AccountHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000118,Anchorage,360,351554110000990,External,Trial UT Plan,Trial UT Plan,Trial PDI-IPC 20/4/UPD,20,4,"61.173, -147.884",OAL-000103,ANCUS1 Beta,InActive,", Anchorage, 99518, US",10800.00,60,2022-Jan-14,150,Palladium,24,6.0,1.2,2.4,2.4,20.0,4.0,995,20,4
901600000001318,PerformanceHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,Not Available,Not Available,360,,External,Trial UT Plan,Trial UT Plan,Not Available,,,NotAvailable,,DUTUS1 - New,InActive,,8850.00,60,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,144,,
901600000001232,AccountHub,Alaska Communications Internet LLC,ACC-DP-0000319,Alaska Communications Internet LLC,DP-EC-0000123,ORD-84394-B2Q4C5,360,351554110003903,External,Trial UT Plan,Trial UT Plan,TRIAL Classic 50/10/UG,50,10,"53.878332, -166.539919",OAL-000147,Unalaska 35706645,InActive,"551 Broadway Ave, Unalaska, AK, 99685, US",5900.00,,2022-Feb-25,108,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,0,50,10
901600000001248,AccountHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000014,PDI EC Test,360,351554110001642,External,Trial UT Plan,Trial UT Plan,Trial PDI-IPC 75/15/UPD,75,15,"61.173, -149.8849",OAL-000073,ANC,InActive,", Anchorage, Alaska 99518, US",40500.00,60,2021-Dec-10,185,Palladium,90,22.5,4.5,9.0,9.0,75.0,15.0,"2,557",75,15
901600000000890,PerformanceHub,TrustComm dba OneWeb Technologies,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,Not Available,Not Available,400,,External,Trial UT Plan,Trial UT Plan,Not Available,,,NotAvailable,,HNS-T1,InActive,,,,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,,
901600000000149,AccountHub,OneWeb,ACC-DP-0000647,OneWeb UT - Alaska,DP-EC-0000256,OneWeb,270,351554110001550,Internal,Internal,OW Reference UT Plan,Entry 75/15/500B,75,15,"0, 0",OAL-000174,OneWeb Akiak 2,InActive,", Akiak, 99552, US",,,2022-Mar-07,98,Bronze,90,0,0,0,0,0,0,"6,414",75,15
901600000000098,PerformanceHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,Not Available,Not Available,360,,External,Trial UT Plan,Trial UT Plan,Not Available,,,NotAvailable,,ANCUS3,InActive,,8850.00,60,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,37,,
901600000001399,AccountHub,OneWeb,ACC-DP-0000546,OneWeb UT,DP-EC-0000045,OneWeb,0,351554110001741,Internal,Internal,Internal,Entry 75/15/500B,75,15,"61.19493828919867, -149.88562057184865",OAL-000151,OneWeb Office - Anchorage,InActive,"188 W. Northern Lights Blvd, Anchorage, 99503, US",,,2022-Feb-24,109,Bronze,90,0,0,0,0,0,0,391,75,15
901600000000945,AccountHub,AST 5G Ltd,ACC-DP-0000042,AST 5G Ltd,DP-EC-0000020,AST,700,351554110010544,External,Trial UT Plan,Trial UT Plan,TRIAL AST5G OCEAN CREW 100/20/3000B,100,20,"52.634825, 1.202711",OAL-000136,Bawburgh Test Terminal 1,InActive,"Lodge Farm BarnsNew Road, Bawburgh, Norfolk, NR9 3LZ, GB",,90,2022-Feb-10,123,Bronze,120,0,0,0,0,0,0,66,100,20
901600000001293,AccountHub,AST 5G Ltd,ACC-DP-0000042,AST 5G Ltd,DP-EC-0000039,Q-00000107 EC,700,351554110000602,External,DP Demo UT Plan,DP Demo UT Plan,Trial AST5G-ENT 125/25/500B,125,25,"52.59215, 1.71228",OAL-000064,AST Ref UT - GY Roof,InActive,"Satellite House, Bessemer Way, Great Yarmouth, Norfolk, NR31 0LX, ",,ContractTerm,2021-Dec-18,177,Bronze,150,0,0,0,0,0,0,892,125,25
901600000001099,AccountHub,OneWeb,ACC-DP-0000548,OneWeb Golden UT,DP-EC-0000044,One Web,0,351554110003598,Internal,Internal,OW Reference UT Plan,Classic 30/6/UG,30,6,"64.2021, -51.6446",OAL-000128,Nuuk,InActive,"Nuuk Transport ASQasapi 2, Nuuk, 3900, GL",,,2022-Feb-24,109,Gold,36,6.0,1.2,2.7,2.7,6.0,1.2,0,30,6
901600000000289,AccountHub,OneWeb,ACC-DP-0000549,OneWeb UT - Hughes,DP-EC-0000046,OneWeb,270,351554110000131,Internal,Internal,Internal,Classic 50/10/UG,50,10,"60.143757, 10.807188",OAL-000145,Oslo,InActive,"Myraveien 1, Hakadal, 1488, NO",,,2022-Feb-23,110,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,524,50,10
901600000001274,PerformanceHub,Alaska Communications Internet LLC,ACC-DP-0000319,Alaska Communications Internet LLC,Not Available,Not Available,360,,External,Trial UT Plan,Trial UT Plan,Not Available,,,NotAvailable,,City of Bethel,InActive,,5900.00,,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8,,
901600000000330,PerformanceHub,OneWeb,ACC-DP-0000546,OneWeb UT,DP-EC-0000045,OneWeb,0,,Internal,Internal,Internal,IP Access 50/10,,,NotAvailable,,LFFUS3,InActive,,,,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,418,,
901600000000302,AccountHub,OneWeb,ACC-DP-0000549,OneWeb UT - Hughes,DP-EC-0000046,OneWeb,270,351554110000107,Internal,Internal,Internal,Classic 50/10/UG,50,10,"45.814598, 15.947915",OAL-000143,Croatia,InActive,"Antunovac 12, Zagreb, 10110, HR",,,2022-Feb-24,109,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,186,50,10
901600000000921,PerformanceHub,Alaska Communications Internet LLC,ACC-DP-0000319,Alaska Communications Internet LLC,Not Available,Not Available,360,,External,Trial UT Plan,Trial UT Plan,Not Available,,,NotAvailable,,BBTC - King Salmon,InActive,,2950.00,,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,435,,
901600000000250,AccountHub,OneWeb,ACC-DP-0000548,OneWeb Golden UT,DP-EC-0000044,One Web,0,351554110000016,Internal,Internal,OW Reference UT Plan,Classic 30/6/UG,30,6,"51.511, -.2248",OAL-000122,London,InActive,"The WestWorks, 195 Wood Lane, London, W12 7FQ, GB",,,2022-Feb-24,109,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,62,,
901600000000208,AccountHub,OneWeb,ACC-DP-0000549,OneWeb UT - Hughes,DP-EC-0000046,OneWeb,270,351554110000024,Internal,Internal,Internal,Classic 50/10/UG,50,10,"45.814598, 15.947915",OAL-000144,Croatia,InActive,"Antunovac 12, Zagreb, 10110, HR",,,2022-Feb-23,110,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,332,50,10
