Column Names,Data Type,Valid Values,Missing Values,Max String Length,Min String Length,Oldest Date,Newest Date,Min,Max,Mean,Median,Mode,Standard Deviation,Skew,Sum,first quartile (25%),second quartile (50%),third quartile (75 %),interquartile range,Variance,Kurtosis,Mean absolute deviation
1,string,131,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,string,131,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,string,131,0,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,string,131,0,33,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,string,131,0,24,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,string,131,0,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,string,115,16,41,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,string,131,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,string,114,17,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,string,114,17,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,string,114,17,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,string,131,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,string,1,130,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,string,1,130,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,string,1,130,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,string,1,130,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,string,1,130,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,string,114,17,21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,string,131,0,76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,string,114,17,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,string,114,17,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,string,114,17,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,string,80,51,80,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,string,114,17,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Int64,0,131,0,0,0,0,,,,,0,,,0,,,,,,,
